work_id,mp_name,mp_house,constituency,state,district,block,village,implementing_agency,work_type,work_description,sanctioned_amount,released_amount,expenditure,balance_amount,work_status,recommendation_date,sanction_date,completion_date,financial_year,latitude,longitude,is_demo
MPLADS-2023-MH-042,Girish Bapat / Successor Rep,Lok Sabha,Pune (Lok Sabha),Maharashtra,Pune,Baramati,Karhati,Zilla Parishad Pune,Community Hall,"Construction of multipurpose community hall in Karhati (DEMO ANOMALY: Cost 4.2x peer median, finished in 15 days)",9250000.0,9250000.0,9250000.0,0.0,Completed,2023-05-15,2023-06-10,2023-06-25,2023-24,18.1524,74.5772,True
MPLADS-2023-KA-088,Prathap Simha,Lok Sabha,Mysore (Lok Sabha),Karnataka,Mysuru,Hunsur,Bilikere,Zilla Panchayat Mysuru,Primary Health Sub-Center,"Upgradation of primary health sub-center with maternity care room at Bilikere (DEMO ANOMALY: Sanctioned >2 yrs ago, 100% funds released, 4.8% spent)",4600000.0,4600000.0,220000.0,4380000.0,In Progress,2022-07-10,2022-08-15,,2022-23,12.337,76.438,True
MPLADS-2023-WB-203,Jagannath Sarkar,Lok Sabha,Ranaghat (Lok Sabha),West Bengal,Nadia,Ranaghat-I,Santipur Road,Public Health Engineering WB,Drinking Water RO Plant,Installation of 1000 LPH RO drinking water filtration unit (DEMO ANOMALY: 98.7% expenditure disbursed but status still marked 'Sanctioned'),1600000.0,1600000.0,1580000.0,20000.0,Sanctioned,2023-06-01,2023-07-15,,2023-24,23.215,88.568,True
MPLADS-2023-TN-164,P. R. Natarajan,Lok Sabha,Coimbatore (Lok Sabha),Tamil Nadu,Coimbatore,Pollachi,Annamalai,Tamil Nadu PWD,Rural Road & Culvert,"Construction of cement concrete (CC) internal village road (DEMO ANOMALY: Negative balance, expenditure > sanctioned, completion before sanction)",2500000.0,2500000.0,3250000.0,-750000.0,Completed,2023-08-01,2023-09-15,2023-03-10,2023-24,10.658,77.008,True
MPLADS-2023-UP-CL01,Narendra Modi,Lok Sabha,Varanasi (Lok Sabha),Uttar Pradesh,Varanasi,Sevapuri,Kashi-Puram,M/s Purvanchal InfraTech Services,Solar Street Lighting,Installation of high-density solar street illumination cluster unit #1 in Kashi-Puram (DEMO ANOMALY: Spatial & agency concentration),980000.0,980000.0,965000.0,15000.0,Completed,2023-07-01,2023-08-01,2023-10-15,2023-24,25.319499999999998,82.9725,True
MPLADS-2023-UP-CL02,Narendra Modi,Lok Sabha,Varanasi (Lok Sabha),Uttar Pradesh,Varanasi,Sevapuri,Kashi-Puram,M/s Purvanchal InfraTech Services,Solar Street Lighting,Installation of high-density solar street illumination cluster unit #2 in Kashi-Puram (DEMO ANOMALY: Spatial & agency concentration),980000.0,980000.0,965000.0,15000.0,Completed,2023-07-01,2023-08-01,2023-10-15,2023-24,25.32,82.973,True
MPLADS-2023-UP-CL03,Narendra Modi,Lok Sabha,Varanasi (Lok Sabha),Uttar Pradesh,Varanasi,Sevapuri,Kashi-Puram,M/s Purvanchal InfraTech Services,Solar Street Lighting,Installation of high-density solar street illumination cluster unit #3 in Kashi-Puram (DEMO ANOMALY: Spatial & agency concentration),980000.0,980000.0,965000.0,15000.0,Completed,2023-07-01,2023-08-01,2023-10-15,2023-24,25.3205,82.97349999999999,True
MPLADS-2023-UP-CL04,Narendra Modi,Lok Sabha,Varanasi (Lok Sabha),Uttar Pradesh,Varanasi,Sevapuri,Kashi-Puram,M/s Purvanchal InfraTech Services,Solar Street Lighting,Installation of high-density solar street illumination cluster unit #4 in Kashi-Puram (DEMO ANOMALY: Spatial & agency concentration),980000.0,980000.0,965000.0,15000.0,Completed,2023-07-01,2023-08-01,2023-10-15,2023-24,25.320999999999998,82.97399999999999,True
MPLADS-2023-UP-CL05,Narendra Modi,Lok Sabha,Varanasi (Lok Sabha),Uttar Pradesh,Varanasi,Sevapuri,Kashi-Puram,M/s Purvanchal InfraTech Services,Solar Street Lighting,Installation of high-density solar street illumination cluster unit #5 in Kashi-Puram (DEMO ANOMALY: Spatial & agency concentration),980000.0,980000.0,965000.0,15000.0,Completed,2023-07-01,2023-08-01,2023-10-15,2023-24,25.3215,82.97449999999999,True
MPLADS-2023-UP-CL06,Narendra Modi,Lok Sabha,Varanasi (Lok Sabha),Uttar Pradesh,Varanasi,Sevapuri,Kashi-Puram,M/s Purvanchal InfraTech Services,Solar Street Lighting,Installation of high-density solar street illumination cluster unit #6 in Kashi-Puram (DEMO ANOMALY: Spatial & agency concentration),980000.0,980000.0,965000.0,15000.0,Completed,2023-07-01,2023-08-01,2023-10-15,2023-24,25.322,82.975,True
MPLADS-2023-UP-CL07,Narendra Modi,Lok Sabha,Varanasi (Lok Sabha),Uttar Pradesh,Varanasi,Sevapuri,Kashi-Puram,M/s Purvanchal InfraTech Services,Solar Street Lighting,Installation of high-density solar street illumination cluster unit #7 in Kashi-Puram (DEMO ANOMALY: Spatial & agency concentration),980000.0,980000.0,965000.0,15000.0,Completed,2023-07-01,2023-08-01,2023-10-15,2023-24,25.322499999999998,82.9755,True
MPLADS-2023-UP-CL08,Narendra Modi,Lok Sabha,Varanasi (Lok Sabha),Uttar Pradesh,Varanasi,Sevapuri,Kashi-Puram,M/s Purvanchal InfraTech Services,Solar Street Lighting,Installation of high-density solar street illumination cluster unit #8 in Kashi-Puram (DEMO ANOMALY: Spatial & agency concentration),980000.0,980000.0,965000.0,15000.0,Completed,2023-07-01,2023-08-01,2023-10-15,2023-24,25.323,82.976,True
MPLADS-2023-UP-CL09,Narendra Modi,Lok Sabha,Varanasi (Lok Sabha),Uttar Pradesh,Varanasi,Sevapuri,Kashi-Puram,M/s Purvanchal InfraTech Services,Solar Street Lighting,Installation of high-density solar street illumination cluster unit #9 in Kashi-Puram (DEMO ANOMALY: Spatial & agency concentration),980000.0,980000.0,965000.0,15000.0,Completed,2023-07-01,2023-08-01,2023-10-15,2023-24,25.3235,82.97649999999999,True
MPLADS-2023-UP-CL10,Narendra Modi,Lok Sabha,Varanasi (Lok Sabha),Uttar Pradesh,Varanasi,Sevapuri,Kashi-Puram,M/s Purvanchal InfraTech Services,Solar Street Lighting,Installation of high-density solar street illumination cluster unit #10 in Kashi-Puram (DEMO ANOMALY: Spatial & agency concentration),980000.0,980000.0,965000.0,15000.0,Completed,2023-07-01,2023-08-01,2023-10-15,2023-24,25.323999999999998,82.97699999999999,True
MPLADS-2023-MA-0001,Girish Bapat / Successor Rep,Lok Sabha,Pune (Lok Sabha),Maharashtra,Pune,Shirur,Gopalganj,Zilla Parishad Pune,Drinking Water RO Plant,Upgradation of pipeline distribution and drinking water storage tank at Gopalganj,790000.0,395000.0,125000.0,270000.0,In Progress,2023-05-15,2023-07-03,,2023-24,18.45287,73.85799,True
MPLADS-2023-MA-0002,Nitin Gadkari,Lok Sabha,Nagpur (Lok Sabha),Maharashtra,Nagpur,Kamptee,Shivaji Nagar,Zilla Parishad Nagpur,Primary Health Sub-Center,Civil construction of primary wellness dispensary and staff quarters in Shivaji Nagar,3580000.0,1790000.0,1284000.0,506000.0,In Progress,2023-08-21,2023-10-03,,2023-24,21.06412,79.06963,True
MPLADS-2023-UT-0003,Narendra Modi,Lok Sabha,Varanasi (Lok Sabha),Uttar Pradesh,Varanasi,Arajiline,Chandrapur,Rural Engineering Dept UP,Community Hall,Development of public cultural center and community shed at Chandrapur,1540000.0,1540000.0,851000.0,689000.0,In Progress,2023-08-14,2023-09-20,,2023-24,25.22756,83.07525,True
MPLADS-2023-MA-0004,Nitin Gadkari,Lok Sabha,Nagpur (Lok Sabha),Maharashtra,Nagpur,Hingna,Vikas Nagar,Zilla Parishad Nagpur,Sanitation Facility / Public Toilet,"Modern hygiene block with running water and solar lighting near bus stand, Vikas Nagar",1040000.0,1040000.0,976000.0,64000.0,Completed,2023-05-06,2023-07-05,2023-09-20,2023-24,21.26225,79.17348,True
MPLADS-2023-MA-0005,Hemant Godse,Lok Sabha,Nashik (Lok Sabha),Maharashtra,Nashik,Sinnar,Shivaji Nagar,DRDA Nashik,Sanitation Facility / Public Toilet,"Modern hygiene block with running water and solar lighting near bus stand, Shivaji Nagar",690000.0,690000.0,562000.0,128000.0,In Progress,2023-07-17,2023-08-23,,2023-24,20.03303,73.81599,True
MPLADS-2023-KA-0006,D. K. Suresh,Lok Sabha,Bangalore Rural (Lok Sabha),Karnataka,Bangalore Rural,Doddaballapura,Gandhi Gram,Zilla Panchayat Bangalore Rural,Rural Road & Culvert,Link road paving connecting main highway to agrarian hamlet of Gandhi Gram,3660000.0,1830000.0,780000.0,1050000.0,In Progress,2023-09-14,2023-10-13,,2023-24,13.1803,77.50071,True
MPLADS-2023-UT-0007,Narendra Modi,Lok Sabha,Varanasi (Lok Sabha),Uttar Pradesh,Varanasi,Arajiline,Nehru Colony,M/s Purvanchal InfraTech Services,Rural Road & Culvert,Construction of cement concrete (CC) internal village road at Nehru Colony,3570000.0,3570000.0,3324000.0,246000.0,Completed,2023-11-21,2023-12-31,2024-08-20,2023-24,25.32695,83.03318,True
MPLADS-2023-TA-0008,Su. Venkatesan,Lok Sabha,Madurai (Lok Sabha),Tamil Nadu,Madurai,Melur,Sundar Nagar,Madurai Municipal Corp,Solar Street Lighting,Erection of high-mast solar illumination tower near market square in Sundar Nagar,510000.0,510000.0,476000.0,34000.0,Completed,2023-05-27,2023-06-14,2023-08-26,2023-24,9.90652,78.01505,True
MPLADS-2023-TA-0009,Su. Venkatesan,Lok Sabha,Madurai (Lok Sabha),Tamil Nadu,Madurai,Vadipatti,Green Park,PWD Water Resources,Sanitation Facility / Public Toilet,Construction of community sanitary complex with bio-toilets for women at Green Park,1130000.0,1130000.0,550000.0,580000.0,In Progress,2023-12-31,2024-01-22,,2023-24,9.87564,78.03776,True
MPLADS-2023-MA-0010,Nitin Gadkari,Lok Sabha,Nagpur (Lok Sabha),Maharashtra,Nagpur,Hingna,Devipura,Zilla Parishad Nagpur,Solar Street Lighting,Installation of 35 LED solar street lights across major junctions in Devipura,1020000.0,510000.0,258000.0,252000.0,In Progress,2023-12-16,2024-01-19,,2023-24,21.06457,79.19704,True
MPLADS-2023-WE-0011,Jagannath Sarkar,Lok Sabha,Ranaghat (Lok Sabha),West Bengal,Nadia,Chakdaha,Bhavani Peth,Zilla Parishad Nadia,Community Hall,Construction of multipurpose community hall in Bhavani Peth,2700000.0,2700000.0,2674000.0,26000.0,Completed,2023-08-01,2023-09-04,2024-01-22,2023-24,23.37156,88.55314,True
MPLADS-2023-MA-0012,Nitin Gadkari,Lok Sabha,Nagpur (Lok Sabha),Maharashtra,Nagpur,Kamptee,Subhash Nagar,Nagpur Improvement Trust,School Classroom & Infrastructure,"Installation of rooftop solar panels and clean sanitation facility in Govt High School, Subhash Nagar",1310000.0,655000.0,0.0,655000.0,Sanctioned,2023-11-03,2023-12-21,,2023-24,21.20706,79.13377,True
MPLADS-2023-UT-0013,Rajnath Singh,Lok Sabha,Lucknow (Lok Sabha),Uttar Pradesh,Lucknow,Sarojini Nagar,Lakshmipuram,UP State Construction Corp,School Classroom & Infrastructure,"Construction of two additional smart classrooms in Zilla Parishad School, Lakshmipuram",1420000.0,1420000.0,1369000.0,51000.0,Completed,2023-09-21,2023-10-10,2024-03-08,2023-24,26.77955,80.84324,True
MPLADS-2023-MA-0014,Girish Bapat / Successor Rep,Lok Sabha,Pune (Lok Sabha),Maharashtra,Pune,Haveli,Hanuman Nagar,PWD Pune Division,Community Hall,Renovation and expansion of existing Gram Panchayat auditorium in Hanuman Nagar,1730000.0,1730000.0,1610000.0,120000.0,Completed,2023-12-05,2024-01-31,2024-10-23,2023-24,18.53869,73.79502,True
MPLADS-2023-TA-0015,Su. Venkatesan,Lok Sabha,Madurai (Lok Sabha),Tamil Nadu,Madurai,Madurai West,Chandrapur,Madurai Municipal Corp,Primary Health Sub-Center,"Supply of medical diagnostics, cold chain storage and OPD shed in Chandrapur",3370000.0,0.0,0.0,0.0,Sanctioned,2023-11-26,2024-01-06,,2023-24,9.96681,78.236,True
MPLADS-2023-MA-0016,Girish Bapat / Successor Rep,Lok Sabha,Pune (Lok Sabha),Maharashtra,Pune,Ambegaon,Chandrapur,DRDA Pune,Drinking Water RO Plant,Installation of 1000 LPH RO drinking water filtration unit at Chandrapur,870000.0,870000.0,820000.0,50000.0,Completed,2023-06-11,2023-07-24,2023-10-08,2023-24,18.61028,73.75479,True
MPLADS-2023-WE-0017,Jagannath Sarkar,Lok Sabha,Ranaghat (Lok Sabha),West Bengal,Nadia,Ranaghat-I,Green Park,Public Health Engineering WB,Sanitation Facility / Public Toilet,Construction of community sanitary complex with bio-toilets for women at Green Park,1370000.0,1370000.0,1313000.0,57000.0,Completed,2023-06-25,2023-07-25,2023-10-24,2023-24,23.56759,88.47601,True
MPLADS-2023-MA-0018,Hemant Godse,Lok Sabha,Nashik (Lok Sabha),Maharashtra,Nashik,Sinnar,Navi Vasti,DRDA Nashik,School Classroom & Infrastructure,"Installation of rooftop solar panels and clean sanitation facility in Govt High School, Navi Vasti",2340000.0,2340000.0,2208000.0,132000.0,Completed,2023-12-06,2024-01-25,2024-08-10,2023-24,19.89154,73.84638,True
MPLADS-2023-MA-0019,Nitin Gadkari,Lok Sabha,Nagpur (Lok Sabha),Maharashtra,Nagpur,Hingna,Shivpur,Nagpur Improvement Trust,Solar Street Lighting,Erection of high-mast solar illumination tower near market square in Shivpur,780000.0,780000.0,749000.0,31000.0,Completed,2023-06-20,2023-08-07,2023-10-30,2023-24,21.0704,79.11101,True
MPLADS-2023-KA-0020,Prathap Simha,Lok Sabha,Mysore (Lok Sabha),Karnataka,Mysuru,Hunsur,Gopalganj,Mysore Urban Dev Authority,Solar Street Lighting,Comprehensive street lighting and battery energy storage system at Gopalganj,480000.0,480000.0,282000.0,198000.0,In Progress,2023-11-01,2023-11-21,,2023-24,12.40013,76.56842,True
MPLADS-2023-UT-0021,Narendra Modi,Lok Sabha,Varanasi (Lok Sabha),Uttar Pradesh,Varanasi,Pindra,Sundar Nagar,Varanasi Nagar Nigam,Primary Health Sub-Center,Civil construction of primary wellness dispensary and staff quarters in Sundar Nagar,3190000.0,3190000.0,3093000.0,97000.0,Completed,2023-05-08,2023-06-12,2024-04-01,2023-24,25.43666,82.87148,True
MPLADS-2023-KA-0022,Prathap Simha,Lok Sabha,Mysore (Lok Sabha),Karnataka,Mysuru,Nanjangud,Khadki,Zilla Panchayat Mysuru,Drinking Water RO Plant,Provision of deep borewell and solar powered community water kiosk in Khadki,960000.0,960000.0,807000.0,153000.0,In Progress,2024-01-04,2024-02-16,,2023-24,12.3695,76.64635,True
MPLADS-2023-WE-0023,Jagannath Sarkar,Lok Sabha,Ranaghat (Lok Sabha),West Bengal,Nadia,Ranaghat-I,Adarsh Nagar,WB PWD Nadia,Community Hall,Construction of multipurpose community hall in Adarsh Nagar,2440000.0,2440000.0,2286000.0,154000.0,Completed,2023-08-18,2023-09-11,2024-04-05,2023-24,23.39986,88.58872,True
MPLADS-2023-UT-0024,Rajnath Singh,Lok Sabha,Lucknow (Lok Sabha),Uttar Pradesh,Lucknow,Sarojini Nagar,Khadki,Lucknow Development Authority,Primary Health Sub-Center,"Supply of medical diagnostics, cold chain storage and OPD shed in Khadki",4940000.0,4940000.0,4596000.0,344000.0,Completed,2023-04-02,2023-04-19,2023-11-22,2023-24,26.76548,80.93224,True
